,hardware_model,instrument_name,serial_numbers,transmit_frequency,phased_array,cruise_beg_date,blanking_interval,bin_length,transducer_beam_angle,transmit_pulse_length,comments,bw_from_comments,bw_from_hardware_model,bw_from_transmit_frequency,bandwidth
377,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1997-06-19 18:17:38.999999998,4 m,8 m,,8 m,OK,,narrowband,,narrowband
378,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1997-07-20 16:04:50.000000000,4 m,4 m,,4 m,OK,,narrowband,,narrowband
379,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1997-08-08 17:54:59.000000000,4 m,8 m,,8 m,OK,,narrowband,,narrowband
380,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1997-11-11 16:28:16.000000000,4 m,8 m,,8 m,OK,,narrowband,,narrowband
381,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1997-06-02 20:30:36.000000000,4 m,8 m,,8 m,OK,,narrowband,,narrowband
382,Broadband 150,ZUNCLEAR: Broadband 150,,150 kHz,,1998-04-14 15:46:59.000000000,4 m,8 m,,8.08 m,OK,,broadband,,broadband
383,Broadband 150,ZUNCLEAR: Broadband 150,,150 kHz,,1998-05-18 22:50:39.000000002,4 m,8 m,,8.08 m,OK,,broadband,,broadband
384,Broadband 150,ZUNCLEAR: Broadband 150,,150 kHz,,1998-07-10 21:32:34.000000000,4 m,8 m,,8.08 m,OK,,broadband,,broadband
385,VM-150,VM-150,,153 KHz,,1998-03-18 16:09:06.000000000,4 m,8 m,30 deg,8 m,,,,,
386,VM-150,VM-150,,153 KHz,,1998-08-22 00:37:18.000000000,4 m,8 m,30 deg,8 m,,,,,
387,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1998-01-21 17:17:56.000000000,4 m,8 m,,8 m,OK,,narrowband,,narrowband
388,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1998-04-18 16:06:58.000000000,4 m,8 m,,8 m,OK,,narrowband,,narrowband
389,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1998-07-29 16:07:56.000000000,4 m,8 m,,8 m,OK,,narrowband,,narrowband
390,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1998-08-17 15:36:07.000000000,4 m,8 m,,8 m,Short cruise over Monterey Bay shelf///OK,,narrowband,,narrowband
391,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1998-09-10 11:30:28.000000000,4 m,8 m,,8 m,OK,,narrowband,,narrowband
392,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1998-10-14 13:53:08.000000000,4 m,8 m,,8 m,"Class cruises, returning to Moss Landing each day///OK",,narrowband,,narrowband
393,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1998-10-29 14:50:41.000000000,4 m,8 m,,8 m,OK,,narrowband,,narrowband
394,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1998-12-01 16:42:47.999999996,4 m,8 m,,8 m,OK,,narrowband,,narrowband
395,Broadband 150,ZUNCLEAR: Broadband 150,,150 kHz,,1999-05-21 03:58:35.000000000,4 m,8 m,,8.08 m,OK,,broadband,,broadband
396,VM-150 Narrowband,VM-150,500,150 kHz,,1999-08-05 23:38:28.000000000,4 m,8 m,30 Deg,16 m,"Transducer was replaced 95/10.///Transducer replaced 95/10, Acoustic window///ok",,narrowband,,narrowband
397,VM-150 Narrowband,VM-150,500,150 kHz,,1999-08-19 23:11:44.000000000,4 m,8 m,30 Deg,16 m,"Transducer was replaced 95/10.///Transducer replaced 95/10, Acoustic window///ok",,narrowband,,narrowband
398,VM-150 Narrowband,VM-150,500,150 kHz,,1999-08-15 01:13:24.000000000,4 m,8 m,30 Deg,16 m,"Transducer was replaced 95/10.///Transducer replaced 95/10, Acoustic window///ok",,narrowband,,narrowband
399,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1999-01-26 17:15:42.000000000,4 m,8 m,,4 m,OK,,narrowband,,narrowband
400,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1999-04-07 16:34:59.000000000,4 m,8 m,,8 m,OK,,narrowband,,narrowband
401,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1999-04-30 16:10:58.000000000,4 m,8 m,,8 m,OK,,narrowband,,narrowband
402,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1999-08-24 13:42:28.000000000,4 m,8 m,,8 m,OK,,narrowband,,narrowband
403,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1999-09-15 15:33:50.999999996,4 m,8 m,,8 m,OK,,narrowband,,narrowband
404,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1999-10-22 15:46:36.000000000,4 m,8 m,,8 m,OK,,narrowband,,narrowband
405,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1999-12-01 18:05:35.000000000,4 m,8 m,,8 m,OK,,narrowband,,narrowband
406,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1999-10-05 15:55:30.000000000,4 m,8 m,,8 m,OK,,narrowband,,narrowband
407,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1999-02-04 16:50:11.000000000,4 m,8 m,,4 m,OK,,narrowband,,narrowband
408,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1999-06-03 18:01:43.000000000,4 m,8 m,,8 m,OK,,narrowband,,narrowband
409,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1999-07-21 01:05:49.999999998,4 m,8 m,,8 m,OK,,narrowband,,narrowband
410,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1999-02-10 16:55:17.000000000,4 m,8 m,,8 m,OK,,narrowband,,narrowband
411,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1999-02-19 17:01:09.000000000,4 m,8 m,,8 m,OK,,narrowband,,narrowband
412,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1999-05-11 17:07:15.000000000,4 m,8 m,,8 m,OK,,narrowband,,narrowband
413,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1999-04-16 14:12:23.000000000,4 m,8 m,,8 m,OK,,narrowband,,narrowband
414,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1999-05-20 20:17:16.000000000,4 m,8 m,,8 m,OK,,narrowband,,narrowband
415,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,1999-04-20 17:42:36.000000000,4 m,8 m,,8 m,OK,,narrowband,,narrowband
416,Broadband 150,ZUNCLEAR: Broadband 150,,150 kHz,,2000-01-19 15:46:34.000000000,4 m,8 m,,8.08 m,OK,,broadband,,broadband
417,Narrowband 150,ZUNCLEAR: Narrowband 150,,150 kHz,,2000-01-26 16:56:54.000000000,4 m,8 m,,8 m,OK,,narrowband,,narrowband
418,VM-150,VM-150,249,,,2000-04-24 18:55:06.000000000,4 m,8 m,,8 m,Beam 2 low WRT other beams.///The orientation of the transducer relative///OK,,,,
419,VM-150,VM-150,249,,,2000-05-22 18:56:51.000000000,4 m,8 m,,8 m,Beam 2 low WRT other beams.///The orientation of the transducer relative///OK,,,,
420,VM-150 (NB),VM-150,,153 kHz,,1994-11-12 01:40:00.000000000,4m,8m,30 degrees from vertical,8m,"Beams aligned fore-aft, not 45 degree///Data integrated to 20 minute profiles///In general avoided tight screening of GPS to",,narrowband,,narrowband
421,narrowband 75 kHz,ZUNCLEAR: narrowband 75 kHz,,75 kHz,,1996-06-17 10:20:26.000000000,4 m,8 m,,8 m,4 beams angled of 30 degree,,narrowband,,narrowband
422,VM-150 (NB),VM-150,,153 kHz,,1993-06-24 11:40:00.000000000,4m,8m,30 degrees from vertical,8m,"Beams aligned fore-aft, not 45 degree offset.///Data integrated to 20 minute profiles///In general avoided tight screening of GPS to///transducer misalignment error varied",,narrowband,,narrowband
423,VM-150 (NB),VM-150,,153 kHz,,1994-08-23 13:20:00.000000000,4m,8m,30 degrees from vertical,8m,"Beams aligned fore-aft, not 45 degree///Data integrated to 20 minute profiles///In general avoided tight screening of GPS to",,narrowband,,narrowband
424,VM-150 (NB),VM-150,,153 kHz,,1996-05-07 05:00:00.000000000,4m,8m,30 degrees from vertical,8m,"Beams aligned fore-aft, not 45 degree///In general avoided tight screening of GPS to",,narrowband,,narrowband
425,RD-VM150,VM-150,,153 kHz,,1993-05-30 14:07:18.999999998,4 m,8 m,30 deg.,8 m,There were four Subduction cruises:///OK,,,,
426,RD-VM150 Narrow band,VM-150,,153.6 kHz,,1997-12-02 02:28:43.000000000,36 m,16 m,30 deg.,16 m,Data quality good in general;,,narrowband,,narrowband
427,RD-VM150 Narrow band,VM-150,,153.6 kHz,,1998-02-19 14:27:02.000000000,36 m,16 m,30 deg.,16 m,Data quality good in general;,,narrowband,,narrowband
428,150,ZUNCLEAR: 150,,153.6 kHz,,1991-02-07 04:24:35.000000000,,,,,Excepts below from WHP report:,,,,
429,150,ZUNCLEAR: 150,,153.6 kHz,,1992-12-28 01:25:55.000000000,4 m,8 m,,,Excepts below from WHP report:,,,,
430,150,ZUNCLEAR: 150,,153.6 kHz,,1994-03-30 12:56:43.000000000,4 m,8 m,,16 m,OK,,,,
431,150,ZUNCLEAR: 150,,153.6 kHz,,1997-01-06 19:13:36.000000000,4 m,8 m,,16 m,OK,,,,
432,150,ZUNCLEAR: 150,,153.6 kHz,,1997-09-07 14:45:25.000000000,4 m,8 m,,16 m,OK,,,,
433,150,ZUNCLEAR: 150,,153.6 kHz,,1998-06-16 15:42:33.000000002,4 m,8 m,,16 m,OK,,,,
434,150,ZUNCLEAR: 150,,153.6 kHz,,1998-04-03 10:27:59.000000000,4 m,8 m,,16 m,OK,,,,
435,Narrowband 150,ZUNCLEAR: Narrowband 150,,153 kHz,,1990-11-19 18:47:39.000000000,4 m,8 m,,8 m,The transducer sits at///A set of,,narrowband,,narrowband
436,Narrowband 150,ZUNCLEAR: Narrowband 150,,153 kHz,,1992-06-11 16:33:53.000000000,4 m,8 m,,8 m,HIGHLY QUESTIONABLE DATA!!!!!!!///The transducer sits at///Highly questionable data,,narrowband,,narrowband
437,Narrowband 150,ZUNCLEAR: Narrowband 150,,153 kHz,,1992-12-03 15:30:09.000000000,4 m,8 m,,8 m,No data during WOCE SR04 section!!!!!///The transducer sits at,,narrowband,,narrowband
438,Narrowband 150,ZUNCLEAR: Narrowband 150,,153 kHz,,1996-03-17 20:10:26.000000000,4 m,4 m,,4 m,The transducer sits at,,narrowband,,narrowband
439,narrowband 75 kHz,ZUNCLEAR: narrowband 75 kHz,,75 kHz,,1995-01-13 13:03:46.000000000,8 m,16 m,,16 m,Data from Indonesian waters///4 beams angled of 30 degree,,narrowband,,narrowband
440,VM-150 (NB),VM-150,,153 kHz,,1993-09-12 15:20:00.000000000,4m,8m,30 degrees from vertical,8m,"Beams aligned fore-aft, not 45 degree offset.///Data integrated to 20 minute profiles///In general avoided tight screening of GPS to///transducer misalignment error varied",,narrowband,,narrowband
441,RD-VM150,VM-150,,153,,1999-03-28 18:24:31.000000000,4 m,8 m,30,8 m,"prior to 3/30,00:40 and after 4/11,16:05,",,,,
442,RD-VM150,VM-150,,153,,1999-06-14 14:51:22.000000002,4 m,8 m,30,8 m,"prior to 6/14,22:30 and after 6/30,14:53,///gyrocompasses were switched by the bridge",,,,
443,Narrowband 150,ZUNCLEAR: Narrowband 150,,153 kHz,,1993-12-13 16:57:48.000000000,4 m,8 m,,8 m,The transducer sits at///gyrocompass poor poleward of,,narrowband,,narrowband
444,Narrowband 150,ZUNCLEAR: Narrowband 150,,153 kHz,,1994-12-07 10:06:20.000000000,4 m,8 m,,8 m,The transducer sits at///gyrocompass poor poleward,,narrowband,,narrowband
445,Narrowband 150,ZUNCLEAR: Narrowband 150,,153 kHz,,1998-03-31 21:57:09.000000000,4 m,4 m,,4 m,The transducer sits at,,narrowband,,narrowband
446,Narrowband 150,ZUNCLEAR: Narrowband 150,,153 kHz,,1998-04-28 22:31:29.000000000,4 m,4 m,,4 m,The transducer sits at///gyrocompass poor for latitudes,,narrowband,,narrowband
447,Narrowband 150,ZUNCLEAR: Narrowband 150,,153 kHz,,1999-01-10 16:08:41.000000000,4 m,4 m,,4 m,The transducer sits at///gyrocompass quality very poor at poleward latitudes,,narrowband,,narrowband
448,Narrowband 150,ZUNCLEAR: Narrowband 150,,153 kHz,,1999-02-13 14:14:05.000000000,4 m,4 m,,4 m,The transducer sits at///gyrocompass poor at poleward latitudes,,narrowband,,narrowband
449,Narrowband 150,ZUNCLEAR: Narrowband 150,,153 kHz,,1998-08-28 07:59:13.000000000,4 m,4 m,,4 m,The transducer sits at///gyrocompass poor for latitudes,,narrowband,,narrowband
450,VM-150,VM-150,249,,,2000-06-24 04:50:44.000000002,4 m,8 m,,8 m,Beam 2 low WRT other beams.///The orientation of the transducer relative///OK,,,,
451,VM-150,VM-150,249,,,2000-06-19 19:27:07.000000002,4 m,8 m,,8 m,Beam 2 low WRT other beams.///Temperature looks fine.///The orientation of the transducer relative///OK,,,,
452,VM-150,VM-150,249,,,2000-07-24 19:07:37.999999998,4 m,8 m,,8 m,Beam 2 low WRT other beams.///Temperature looks fine.///The orientation of the transducer relative///OK,,,,
453,NB 150 (VM-150-18HP),VM-150-18HP,,153.6 KHz,,1999-06-14 00:29:21.000000000,4 m,8 m,,8 m,,,narrowband,,narrowband
454,RDI VM150 narrowband,VM-150,transducer s/n 171,,,1995-08-29 07:03:50.000000000,4m,8m,,16m,,,narrowband,,narrowband
455,RDI VM150 narrowband,VM-150,transducer s/n 171,,,1995-09-30 02:46:46.999999996,4m,8m,,16m,,,narrowband,,narrowband
456,RDI VM150 narrowband,VM-150,transducer s/n 171,,,1995-11-05 13:15:29.999999996,4m,8m,,16m,,,narrowband,,narrowband
457,RDI VM150 narrowband,VM-150,transducer s/n 171,,,1995-11-11 05:45:59.000000000,4m,8m,,16m,,,narrowband,,narrowband
458,NB 150,ZUNCLEAR: NB 150,,150 KHz,,1999-09-09 19:31:16.000000000,4 m,8 m,,8 m,Mooring cruise crossing the EQ along///Broad Band instrument removed in DEC 1996 and///final phase is mean of values///ran with PG=80 and putnav with GPS PCODE,,narrowband,,narrowband
459,NB 150,ZUNCLEAR: NB 150,,150 KHz,,1999-10-20 23:50:38.000000004,4 m,8 m,,8 m,Mooring cruise crossing the EQ along///Broad Band instrument removed in DEC 1996 and///final phase is mean of values///ran with PG=80 and putnav with GPS PCODE,,narrowband,,narrowband
460,NB 150,ZUNCLEAR: NB 150,,150 KHz,,1999-11-21 01:19:57.000000000,4 m,8 m,,8 m,Mooring cruise crossing the EQ along///Broad Band instrument removed in DEC 1996 and///PCODE not working for this cruise///final phase is mean of values///ran with PG=80 and putnav with GPS PCODE,,narrowband,,narrowband
461,NB 150,ZUNCLEAR: NB 150,,150 KHz,,2000-02-01 19:00:50.000000000,4 m,8 m,,8 m,Mooring cruise crossing the EQ along///Broad Band instrument removed in DEC 1996 and///ran with PG_min=30 and putnav with GPS PCODE,,narrowband,,narrowband
462,NB 150,ZUNCLEAR: NB 150,,150 KHz,,2000-04-11 13:10:43.000000000,4 m,8 m,,8 m,Mooring cruise crossing the EQ///Broad Band instrument removed in DEC 1996 and///ran with PG_min=30 and putnav with GPS PCODE,,narrowband,,narrowband
463,RDI,ZUNCLEAR: RDI,,,,1993-07-11 15:56:58.999999998,2m,8 m,,16 m,"The data have been calibrated,",,,,
464,narrowband 75 kHz,ZUNCLEAR: narrowband 75 kHz,,75 kHz,,1995-07-01 07:13:04.000000000,8 m,16 m,,16 m,4 beams angled of 30 degree,,narrowband,,narrowband
465,narrowband 75 kHz,ZUNCLEAR: narrowband 75 kHz,,75 kHz,,1996-01-23 22:49:05.000000000,8 m,16 m,,16 m,4 beams angled of 30 degree,,narrowband,,narrowband
466,narrowband 75 kHz,ZUNCLEAR: narrowband 75 kHz,,75 kHz,,1996-07-07 12:00:06.000000000,8 m,16 m,,16 m,4 beams angled of 30 degree,,narrowband,,narrowband
467,narrowband 75 kHz,ZUNCLEAR: narrowband 75 kHz,,75 kHz,,1997-01-26 07:13:43.000000000,8 m,16 m,,16 m,4 beams angled of 30 degree,,narrowband,,narrowband
468,narrowband 75 kHz,ZUNCLEAR: narrowband 75 kHz,,75 kHz,,1997-07-29 14:25:44.000000000,8 m,16 m,,16 m,4 beams angled of 30 degree,,narrowband,,narrowband
469,narrowband 75 kHz,ZUNCLEAR: narrowband 75 kHz,,75 kHz,,1998-01-03 04:48:13.000000000,2 m,4 m,,4 m,4 beams angled of 30 degree,,narrowband,,narrowband
470,narrowband 75 kHz,ZUNCLEAR: narrowband 75 kHz,,75 kHz,,1998-08-08 09:42:43.000000000,8 m,16 m,,16 m,4 beams angled of 30 degree,,narrowband,,narrowband
471,narrowband 75 kHz,ZUNCLEAR: narrowband 75 kHz,,75 kHz,,1999-01-25 21:24:20.000000000,8 m,16 m,,16 m,4 beams angled of 30 degree,,narrowband,,narrowband
472,narrowband 75 kHz,ZUNCLEAR: narrowband 75 kHz,,75 kHz,,1999-10-21 03:40:37.000000000,8 m,16 m,,16 m,4 beams angled of 30 degree,,narrowband,,narrowband
473,Ocean Surveyor II (OS-II 38),OS-II-38,,38 kHz,,2000-08-31 00:01:35.000000000,10 m (Leg2) 16 m (Leg3),16 m,,16 m,4 beams angled of 30 degree,,,,
474,VM-150 (NB),VM-150,,153 kHz,,1991-07-12 14:20:00.000000000,4m,"2, 4, or 8m",30 degrees from vertical,"2, 4, or 8m","Beams aligned fore-aft, not 45 degree///Data integrated to 20 minute profiles///In general avoided tight screening of GPS to",,narrowband,,narrowband
475,VM-150 (NB),VM-150,,153 kHz,,1992-07-14 02:40:00.000000000,4m,8m,30 degrees from vertical,8m,"Beams aligned fore-aft, not 45 degree///Data integrated to 20 minute profiles///In general avoided tight screening of GPS to",,narrowband,,narrowband
476,VM-150 (NB),VM-150,,153 kHz,,1995-06-17 01:19:59.999999998,4m,8m,30 degrees from vertical,8m,"Beams aligned fore-aft, not 45 degree///In general avoided tight screening of GPS to",,narrowband,,narrowband
477,VM-150 (NB),VM-150,,153 kHz,,1996-09-12 04:20:00.000000000,4m,8m,30 degrees from vertical,8m,"Beams aligned fore-aft, not 45 degree///In general avoided tight screening of GPS to",,narrowband,,narrowband
478,VM150,VM-150,,150 Khz,,1993-02-04 21:01:22.000000000,4 m,8 m,,8 m,ADCP generally poor underway,,,,
479,VM-150,VM-150,177,150 kHz,,1995-06-08 19:18:03.000000000,4 m,8 m,,8 m,OK,,,,
480,VM-150,VM-150,177,150 kHz,,1996-05-12 22:22:46.000000000,4 m,4 m,,4 m,OK,,,,
481,RD-VM150,VM-150,,150 KHz,,1993-02-06 17:26:40.000000000,4m,8m,30 deg,8m,"In the CODAS database, the latitude and///Position, speed, heading, Utime logged at",,,,
482,RD-VM150,VM-150,,150 KHz,,1994-02-20 12:58:20.000000000,4m,8m,30 deg,8m,"In the CODAS database, the latitude and///Position, speed, heading, Utime logged at",,,,
483,VM150,VM-150,,150 Khz,,1992-02-21 15:22:13.000000000,4 m,4 or 8 m,,4 or 8 m,ADCP generally poor underway; gyrocompass,,,,
484,VM-150,VM-150,249,,,2000-11-28 19:26:13.000000004,4 m,8 m,,8 m,Temperature looks fine.///The orientation of the transducer relative///OK,,,,
485,VM-150,VM-150,249,,,2000-12-18 19:06:59.000000004,4 m,8 m,,8 m,Temperature looks fine.///The orientation of the transducer relative///OK,,,,
486,VM-150,VM-150,249,,,2001-01-15 19:13:39.000000000,4 m,8 m,,8 m,Temperature looks fine.///The orientation of the transducer relative///OK,,,,
487,VM-150,VM-150,249,,,2001-02-12 19:11:08.000000000,4 m,8 m,,8 m,Temperature looks fine.///The orientation of the transducer relative///OK,,,,
488,VM-150,VM-150,249,,,2001-03-19 19:38:02.000000000,4 m,8 m,,8 m,The four beams return well.///Temperature looks fine.///The orientation of the transducer relative///OK,,,,
489,VM-150,VM-150,177 VM ADCP electronics (serial number 607),150 kHz,,1998-06-22 22:33:21.000000000,2 m,4 m,,4 m,Summary of science:///standard and differential GPS///OK,,,,
490,narrowband 75 kHz,ZUNCLEAR: narrowband 75 kHz,,75 kHz,,1994-12-21 00:03:35.000000000,8 m,16 m,,16 m,4 beams angled of 30 degree,,narrowband,,narrowband
491,NB 150,ZUNCLEAR: NB 150,,150 KHz,,2000-06-15 19:57:44.000000000,4 m,8 m,,8 m,Mooring cruise crossing the EQ along///Broad Band instrument removed in DEC 1996 and///ran with PG_min=30 and putnav with GPS PCODE,,narrowband,,narrowband
492,NB 150,ZUNCLEAR: NB 150,,150 KHz,,2000-07-18 00:41:01.000000000,4 m,8 m,,8 m,Mooring cruise crossing the EQ along///Broad Band instrument removed in DEC 1996 and///ran with PG_min=30 and putnav with GPS PCODE,,narrowband,,narrowband
493,NB 150,ZUNCLEAR: NB 150,,150 KHz,,2000-08-30 02:49:36.000000000,4 m,8 m,,8 m,Mooring cruise crossing the EQ along///Broad Band instrument removed in DEC 1996 and///ran with PG_min=30 and putnav with GPS PCODE,,narrowband,,narrowband
494,NB 150,ZUNCLEAR: NB 150,,150 KHz,,2000-10-14 23:10:16.000000004,4 m,8 m,,8 m,Mooring cruise crossing the EQ along///Broad Band instrument removed in DEC 1996 and///ran with PG_min=30 and putnav with GPS PCODE,,narrowband,,narrowband
495,NB 150,ZUNCLEAR: NB 150,,150 KHz,,2000-11-16 04:13:44.000000000,4 m,8 m,,8 m,Mooring cruise crossing the EQ along///Broad Band instrument removed in DEC 1996 and///ran with PG_min=30 and putnav with GPS PCODE,,narrowband,,narrowband
496,NB 150,ZUNCLEAR: NB 150,,150 KHz,,2001-01-18 22:32:14.000000000,4 m,8 m,,8 m,Mooring cruise crossing the EQ along///Broad Band instrument removed in DEC 1996 and///ran with PG_min=30 and putnav with GPS PCODE,,narrowband,,narrowband
497,VM-150,VM-150,177 VM ADCP electronics (serial number 607),150 kHz,,1997-05-09 15:34:07.000000000,2 m,4 m,,4 m,Summary of science:///time history of ensemble times used:///standard and differential GPS///OK,,,,
498,150,ZUNCLEAR: 150,,153.6 kHz,,1990-12-30 21:53:37.000000000,,,,,,,,,
499,150,ZUNCLEAR: 150,,153.6 kHz,,1992-11-19 21:24:30.000000000,4 m,4 or 8 m,,,Excepts below from WHP report:,,,,
500,150,ZUNCLEAR: 150,,153.6 kHz,,1992-12-02 04:20:10.000000000,4 m,4 or 8 m,,,Excepts below from WHP report:,,,,
501,150,ZUNCLEAR: 150,,153.6 kHz,,1994-05-15 07:44:07.999999998,4 m,8 m,,16 m,OK,,,,
502,RD-VM150,VM-150,,150 KHz,,1994-08-04 12:52:30.000000000,4m,4m,30 deg,4m,"In the CODAS database, the latitude and///Position, speed, heading, Utime logged at",,,,
503,RD-VM150,VM-150,,150 KHz,,1997-09-04 23:55:26.000000000,4m,8m,30 deg,8m,"On the///Position, speed, heading, Utime logged at",,,,
504,RD-VM150,VM-150,,150 KHz,,1993-11-20 00:32:38.000000000,4m,8m,30 deg,8m,"a few extreme shallow water current///Position, speed, heading, Utime logged at",,,,
505,RD-VM150,VM-150,,150 KHz,,1996-11-12 19:46:52.000000000,4m,8m,30 deg,8m,"a few extreme shallow water current///Position, speed, heading, Utime logged at",,,,
506,RD-VM150,VM-150,,150 KHz,,1998-04-24 00:00:03.000000000,4m,8m,30 deg,8m,"Position, speed, heading, Utime logged at",,,,
507,NB 150 (VM-150-18HP),VM-150-18HP,,153.6 KHz,,1998-11-01 18:49:48.000000000,4 m,8 m,,8 m,,,narrowband,,narrowband
508,NB 150 (VM-150-18HP),VM-150-18HP,,153.6 KHz,,1999-11-11 07:58:25.999999996,4 m,8 m,,8 m,,,narrowband,,narrowband
509,RD-VM150,VM-150,,150 KHz,,1992-11-12 14:45:00.000000000,4m,8m,30 deg,8m,"Signal loss only in heaviest seas///Clock drift observed against UT 3-6 times per///Position, speed, heading, Utime logged at///accuracy in cross component of current",,,,
510,VM-150 (NB),VM-150,,153 kHz,,1996-06-01 03:40:00.000000000,4m,8m,30 degrees from vertical,8m,"Beams aligned fore-aft, not 45 degree///In general avoided tight screening of GPS to",,narrowband,,narrowband
511,VM-150,VM-150,249,,,2000-08-21 19:05:19.000000000,4 m,8 m,,8 m,Temperature looks fine.///The orientation of the transducer relative///OK,,,,
512,VM-150,VM-150,249,,,2000-10-16 19:24:34.000000000,4 m,8 m,,8 m,Temperature looks fine.///The orientation of the transducer relative///OK,,,,
513,VM-150,VM-150,249,,,2001-04-16 19:09:41.000000000,4 m,8 m,,8 m,may be a gyro problem///The four beams return well.///Temperature looks fine.///The orientation of the transducer relative///OK,,,,
514,VM-150,VM-150,249,,,2001-05-14 19:07:37.999999998,4 m,8 m,,8 m,gyro problems///The four beams return well.///Temperature looks fine.///The orientation of the transducer relative///OK,,,,
515,VM-150,VM-150,249,,,2001-06-12 19:48:17.000000000,4 m,8 m,,8 m,The four beams return well.///Temperature looks fine.///The orientation of the transducer relative///OK,,,,
516,VM-150,VM-150,249,,,2001-07-09 19:06:40.000000000,4 m,8 m,,8 m,The four beams return well.///Temperature looks fine.///The orientation of the transducer relative///OK,,,,
517,VM-150,VM-150,249,,,2001-08-06 19:08:11.000000000,4 m,8 m,,8 m,All 4 beams returned a maximum///Temperature looks fine.///The orientation of the transducer relative///OK,,,,
518,VM-150,VM-150,249,,,2001-09-30 19:09:25.000000000,4 m,8 m,,8 m,All 4 beams returned a maximum///Temperature looks fine.///The orientation of the transducer relative///OK,,,,
519,VM-150,VM-150,249,,,2001-10-21 18:41:01.000000000,4 m,8 m,,8 m,All 4 beams returned a maximum///Temperature looks fine.///The orientation of the transducer relative///OK,,,,
520,VM-150,VM-150,,,,2001-11-15 19:08:45.000000000,4 m,8 m,,8 m,"new transducer, same make and///All 4 beams returned a maximum///Temperature looks fine.///The orientation of the transducer relative///OK",,,,
521,VM-150,VM-150,,,,2001-12-12 20:06:09.000000000,4 m,8 m,,8 m,"new transducer prior to HOT132, same///All 4 beams returned a maximum///Temperature looks fine.///The orientation of the transducer relative///OK",,,,
522,VM-150,VM-150,,,,2002-01-14 19:08:10.000000000,4 m,8 m,,8 m,"new transducer prior to HOT132, same///All 4 beams returned a maximum///Temperature looks fine.///The orientation of the transducer relative///OK",,,,
523,VM-150,VM-150,,,,2002-02-19 19:14:34.000000000,4 m,8 m,,8 m,"new transducer prior to HOT132, same///All 4 beams returned a maximum///Temperature looks fine.///The orientation of the transducer relative///OK",,,,
524,VM-150,VM-150,,,,2002-03-11 18:48:10.000000000,4 m,8 m,,8 m,"new transducer prior to HOT132, same///All 4 beams returned a maximum///Temperature looks fine.///The orientation of the transducer relative///OK",,,,
525,VM-150,VM-150,,,,2002-06-28 23:21:03.000000002,4 m,8 m,,8 m,"new transducer prior to HOT132, same///All 4 beams returned a maximum///Temperature looks fine.///The orientation of the transducer relative///OK",,,,
526,VM-150,VM-150,,153 KHz,,2002-08-27 21:13:54.000000000,4 m,8 m,30 deg,8 m,data did not start until on station///Temperature looks fine.///fixed 2-minute intervals///The orientation of the transducer relative///OK,,,,
527,VM-150,VM-150,,,,2002-10-05 19:11:38.000000000,4 m,8 m,,8 m,"new transducer prior to HOT132, same///All 4 beams returned a maximum///Temperature looks fine.///The orientation of the transducer relative///OK",,,,
528,NB 150 (VM-150-18HP),VM-150-18HP,,153.6 KHz,,2001-01-24 20:27:02.000000000,4 m,8 m,,8 m,,,narrowband,,narrowband
529,VM-150,VM-150,,,,1998-12-20 19:24:43.000000000,16m,8m,,8m,Up to nine 60-kHz Syncro Loads,,,,
